scrip,expiry,lot_size,price,margin_nrml_pctg,margin_nrml,margin_mis,mwpl_pctg
ACC,26-JUL-18,400,1277.95,12.5,63903,31951,15.53
ACC,30-AUG-18,400,1283.2,12.52,64276,32138,15.53
ACC,27-SEP-18,400,1292.2,12.51,64668,32334,15.53
ADANIENT,26-JUL-18,4000,151.75,29.34,178090,89045,80.31
ADANIENT,30-AUG-18,4000,152.75,29.34,179290,89645,80.31
ADANIENT,27-SEP-18,4000,155.6,29.16,181480,90740,80.31
ADANIPORTS,26-JUL-18,2500,368.25,12.55,115556,57778,10.65
ADANIPORTS,30-AUG-18,2500,370.15,12.56,116268,58134,10.65
ADANIPORTS,27-SEP-18,2500,374.75,12.51,117218,58609,10.65
ADANIPOWER,26-JUL-18,20000,22.3,33.88,151100,75550,82.97
ADANIPOWER,30-AUG-18,20000,22.45,33.89,152150,76075,82.97
ADANIPOWER,27-SEP-18,20000,22.65,33.81,153150,76575,82.97
AJANTPHARM,26-JUL-18,500,963.95,14.15,68198,34099,22.04
AJANTPHARM,30-AUG-18,500,961.05,14.24,68431,34215,22.04
AJANTPHARM,27-SEP-18,500,987.5,14.04,69337,34668,22.04
ALBK,26-JUL-18,11000,41.25,15.69,71197,35598,38.08
ALBK,30-AUG-18,11000,41.4,15.72,71610,35805,38.08
ALBK,27-SEP-18,11000,41.75,15.71,72132,36066,38.08
AMARAJABAT,26-JUL-18,700,762.15,12.52,66799,33399,11.99
AMARAJABAT,30-AUG-18,700,754.55,12.65,66806,33403,11.99
AMARAJABAT,27-SEP-18,700,773,12.51,67676,33838,11.99
AMBUJACEM,26-JUL-18,2500,193.55,12.52,60593,30296,15.79
AMBUJACEM,30-AUG-18,2500,194.05,12.55,60906,30453,15.79
AMBUJACEM,27-SEP-18,2500,196.05,12.52,61356,30678,15.79
ANDHRABANK,26-JUL-18,13000,30.15,14.65,57427,28713,65.28
ANDHRABANK,30-AUG-18,13000,30.4,14.64,57850,28925,65.28
ANDHRABANK,27-SEP-18,13000,30.6,14.64,58240,29120,65.28
APOLLOHOSP,26-JUL-18,500,955.95,12.81,61238,30619,7.23
APOLLOHOSP,30-AUG-18,500,960.05,12.83,61596,30798,7.23
APOLLOHOSP,27-SEP-18,500,967.2,12.82,61985,30992,7.23
APOLLOTYRE,26-JUL-18,3000,276.3,12.63,104685,52342,21.94
APOLLOTYRE,30-AUG-18,3000,274.7,12.73,104895,52447,21.94
APOLLOTYRE,27-SEP-18,3000,283.65,12.52,106567,53283,21.94
ARVIND,26-JUL-18,2000,396.4,14.14,112080,56040,27.87
ARVIND,30-AUG-18,2000,395.95,14.21,112535,56267,27.87
ARVIND,27-SEP-18,2000,402.55,14.11,113595,56797,27.87
ASHOKLEY,26-JUL-18,4000,106.05,23.19,98375,49187,73.64
ASHOKLEY,30-AUG-18,4000,106.55,23.23,99005,49502,73.64
ASHOKLEY,27-SEP-18,4000,107,23.25,99500,49750,73.64
ASIANPAINT,26-JUL-18,600,1401.15,12.52,105274,52637,8.26
ASIANPAINT,30-AUG-18,600,1407.15,12.54,105892,52946,8.26
ASIANPAINT,27-SEP-18,600,1422.5,12.5,106707,53353,8.26
AUROPHARMA,26-JUL-18,1000,568.65,12.5,71092,35546,42.91
AUROPHARMA,30-AUG-18,1000,571.55,12.52,71537,35768,42.91
AUROPHARMA,27-SEP-18,1000,575.75,12.5,71987,35993,42.91
AXISBANK,26-JUL-18,1200,528.05,12.51,79263,39631,15.95
AXISBANK,30-AUG-18,1200,530.55,12.52,79737,39868,15.95
AXISBANK,27-SEP-18,1200,534.15,12.52,80229,40114,15.95
BAJAJ-AUTO,26-JUL-18,250,3118.55,12.5,97479,48739,23.4
BAJAJ-AUTO,30-AUG-18,250,3131.8,12.52,98050,49025,23.4
BAJAJ-AUTO,27-SEP-18,250,3158.25,12.5,98705,49352,23.4
BAJAJFINSV,26-JUL-18,125,6311.55,12.5,98622,49311,7.44
BAJAJFINSV,30-AUG-18,125,6337.6,12.52,99193,49596,7.44
BAJAJFINSV,27-SEP-18,125,6384.35,12.51,99815,49907,7.44
BAJFINANCE,26-JUL-18,500,2519.8,12.51,157655,78827,23.3
BAJFINANCE,30-AUG-18,500,2528.15,12.54,158518,79259,23.3
BAJFINANCE,27-SEP-18,500,2555.2,12.5,159720,79860,23.3
BALKRISIND,26-JUL-18,800,1156.1,12.87,119068,59534,10.33
BALKRISIND,30-AUG-18,800,1163,12.88,119848,59924,10.33
BALKRISIND,27-SEP-18,800,1169,12.88,120496,60248,10.33
BALRAMCHIN,26-JUL-18,7000,62.65,31.23,136941,68470,64.96
BALRAMCHIN,30-AUG-18,7000,62.75,31.29,137433,68716,64.96
BALRAMCHIN,27-SEP-18,7000,63.8,31.17,139208,69604,64.96
BANKBARODA,26-JUL-18,4000,119.95,14.37,68950,34475,47.62
