Date,Open,High,Low,Adj Close,Volume
2004-08-25,123.29,123.29,100.7,101.62,166417913.68
2004-08-26,102.03,102.54,100.31,100.7,49152304.06
2004-08-27,101.04,101.04,98.59,99.01,37245359.16
2004-08-30,99.76,101.83,99.25,101.49,29733585.42
2004-08-31,101.47,101.83,100.38,101.63,25758747.48
2004-09-01,101.83,102.34,101.17,101.61,24228496.28
2004-09-02,101.82,103.33,101.41,102.2,25955263.38
2004-09-03,103.47,113.14,101.86,102.63,11995246.74
2004-09-06,106.96,106.96,102.13,102.32,10985074.24
2004-09-07,106.46,106.46,102.34,102.4,7015233.76
2004-09-08,102.44,102.94,101.94,102.21,8013943.2
2004-09-09,102.54,102.64,100.64,100.79,9658543.46
2004-09-10,101.83,101.83,100.38,101.71,7796503.98
2004-09-13,101.93,104.44,101.93,103.21,25406609.54
2004-09-14,103.37,104.79,103.16,104.46,18637837.32
2004-09-15,104.7,104.91,102.98,103.48,14569865.32
2004-09-16,103.57,104.4,103.11,103.73,8942755.84
2004-09-17,104.09,105.93,103.91,105.37,17777890.76
2004-09-20,106.19,106.64,104.93,105.21,10393873.76
2004-09-21,105.41,107.84,105.12,107.57,16889699.66
2004-09-22,107.83,108.61,106.66,108.21,18681725.76
2004-09-23,107.79,107.89,105.63,105.97,19226315.46
2004-09-24,105.85,106.97,105.52,105.82,9823859.06
2004-09-27,105.68,106.2,104.4,104.99,10001668.42
2004-09-28,104.49,105.67,104.14,104.45,7704556.1
2004-09-29,104.83,106.25,104.51,106.05,14264678.44
2004-09-30,106.51,107.06,104.98,105.64,15217817.42
2004-10-01,105.84,108.66,105.56,107.76,13330946.08
2004-10-04,108.72,111.18,108.46,110.72,18387904.76
2004-10-05,111.11,112.01,110.62,111.15,17429564.14
2004-10-06,111.18,113.43,110.58,111.25,21475893.36
2004-10-07,111.39,113.14,111.39,112.84,12250799.08
2004-10-08,112.93,114.27,112.63,112.94,10402011.66
2004-10-09,113.13,113.53,112.55,113.21,2513705.66
2004-10-11,113.14,114.33,111.6,112.04,11341636.02
2004-10-12,114.17,114.68,110.84,111.54,18959951.46
2004-10-14,113.45,115.61,111.91,114.8,23366138.46
2004-10-15,115.37,117.35,114.91,115.81,21632769.64
2004-10-18,116.64,117.46,115.73,116.97,16642090.82
2004-10-19,117.26,118.15,116.85,117.58,14301080.36
2004-10-20,117.75,118.27,116.12,116.56,8758762.86
2004-10-21,116.97,117.15,115.4,115.76,7794617.74
2004-10-25,115.71,115.91,114.25,114.92,11412388.36
2004-10-26,114.74,117.35,114.74,116.96,8425671.74
2004-10-27,117.48,118.07,116.76,117.24,9525429.5
2004-10-28,118.08,121.15,118.08,120.24,22535456.02
2004-10-29,120.45,120.45,118.09,119.24,10499311.76
2004-11-01,118.6,121.11,117.8,120.72,7439610.5
2004-11-02,116.54,121.66,116.02,119.59,10744484.66
2004-11-03,119.73,122.1,119.73,121.19,10882785.32
2004-11-04,121.87,122.5,120.42,120.7,7946577.24
2004-11-05,121.06,121.68,119.62,120.19,6089622.54
2004-11-08,120.14,122.61,119.21,122.11,12475046.74
2004-11-09,122.41,123.54,121.38,122.55,8895568.86
2004-11-10,122.82,123.65,122.73,123.16,6950903.52
2004-11-11,123.65,124.1,122.83,123.36,6345724.14
2004-11-12,124.16,124.58,122.74,123.41,2198109.94
